Batting Innings,Batting Position,Runs Scored,Balls Faced,Batting Strikerate,Out/NotOut,4s,6s,50s,100s,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs,Strikerate in first 20 balls,Strikerate in 20 to 30 balls,Strikerate after 30 balls,Bowling Innings,Runs Given,Balls Bowled,Wickets Taken,Economy Rate,Bowling Strikerate,3 wicket hauls,5 wicket hauls,Wickets in Powerplay,Wickets in Middle Overs,Wickets in Death Overs,Economy in Powerplay,Economy in Middle Overs,Economy in Death Overs,Catches or Runouts as Fielder,Match Result,Man of the match
2.0,3.0,75.0,50.0,150.0,0.0,11.0,2.0,1.0,0.0,22.0,53.0,0.0,48.0,30.0,210.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
2.0,2.0,42.0,36.0,116.67,1.0,4.0,2.0,0.0,0.0,23.0,19.0,0.0,75.0,75.0,50.0,1.0,13.0,6.0,0.0,13.0,-1.0,0.0,0.0,0.0,0.0,0.0,13.0,-1.0,-1.0,1.0,0.0,0.0
2.0,1.0,32.0,32.0,100.0,0.0,3.0,1.0,0.0,0.0,0.0,30.0,2.0,59.38,100.0,50.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,2.0,18.0,22.0,81.82,1.0,0.0,1.0,0.0,0.0,4.0,14.0,0.0,77.27,10.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,1.0,3.0,6.0,50.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,0.0,20.0,18.0,111.11,1.0,3.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.0,1.0,0.0
1.0,0.0,16.0,9.0,177.78,1.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,80.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,1.0,16.0,16.0,100.0,1.0,1.0,0.0,0.0,0.0,12.0,4.0,0.0,80.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,1.0,6.0,8.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,30.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,1.0,24.0,26.0,92.31,1.0,4.0,0.0,0.0,0.0,20.0,4.0,0.0,84.62,20.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,1.0,41.0,35.0,117.14,1.0,5.0,1.0,0.0,0.0,8.0,33.0,0.0,68.57,106.67,20.0,2.0,28.0,24.0,2.0,7.0,12.0,0.0,0.0,0.0,0.0,2.0,-1.0,-1.0,7.0,1.0,1.0,1.0
1.0,1.0,1.0,4.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,-1.0,-1.0,2.0,12.0,6.0,0.0,12.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,12.0,0.0,0.0,0.0
2.0,1.0,23.0,20.0,115.0,1.0,3.0,1.0,0.0,0.0,12.0,11.0,0.0,115.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,2.0,45.0,40.0,112.5,1.0,5.0,1.0,0.0,0.0,19.0,26.0,0.0,50.0,75.0,100.0,1.0,40.0,18.0,0.0,13.33,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,25.0,7.5,0.0,0.0,0.0
2.0,4.0,16.0,24.0,66.67,1.0,1.0,0.0,0.0,0.0,0.0,11.0,5.0,41.67,60.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
2.0,5.0,36.0,35.0,102.86,1.0,4.0,1.0,0.0,0.0,0.0,27.0,9.0,54.29,60.0,160.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,0.0,14.0,18.0,77.78,1.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,70.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,3.0,2.0,4.0,50.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
2.0,1.0,5.0,8.0,62.5,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,25.0,-1.0,-1.0,1.0,17.0,13.0,0.0,7.85,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,7.85,0.0,0.0,0.0
1.0,0.0,158.0,73.0,216.44,0.0,10.0,13.0,0.0,1.0,41.0,61.0,56.0,56.16,11.32,258.14,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
2.0,0.0,5.0,5.0,100.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,25.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,0.0,24.0,12.0,200.0,1.0,2.0,2.0,0.0,0.0,24.0,0.0,0.0,120.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,1.0,3.0,33.33,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,3.0,21.0,16.0,131.25,1.0,1.0,2.0,0.0,0.0,21.0,0.0,0.0,105.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.0,0.0,0.0
2.0,0.0,3.0,9.0,33.33,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,6.0,1.0,6.0,16.67,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,3.0,5.0,7.0,71.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.0,0.0,0.0
1.0,0.0,19.0,31.0,61.29,1.0,1.0,0.0,0.0,0.0,5.0,14.0,0.0,22.58,109.09,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,35.0,29.0,120.69,1.0,1.0,3.0,0.0,0.0,33.0,2.0,0.0,96.55,70.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,6.0,3.0,200.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,30.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,84.0,64.0,131.25,0.0,10.0,2.0,1.0,0.0,12.0,30.0,42.0,26.56,18.18,173.53,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,0.0,20.0,18.0,111.11,1.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0,100.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,0.0,81.0,48.0,168.75,1.0,11.0,3.0,1.0,0.0,51.0,30.0,0.0,93.75,42.86,133.33,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
2.0,0.0,9.0,4.0,225.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,45.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,1.0,6.0,7.0,85.71,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,30.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0
1.0,1.0,45.0,36.0,125.0,1.0,5.0,2.0,0.0,0.0,1.0,44.0,0.0,61.11,62.5,216.67,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,0.0,6.0,7.0,85.71,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,30.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
2.0,4.0,57.0,56.0,101.79,0.0,8.0,0.0,1.0,0.0,18.0,32.0,7.0,32.14,33.33,103.85,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,0.0,45.0,32.0,140.62,1.0,4.0,2.0,0.0,0.0,35.0,10.0,0.0,112.5,66.67,50.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,0.0,81.0,60.0,135.0,1.0,10.0,2.0,1.0,0.0,27.0,41.0,13.0,35.0,22.5,170.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0
2.0,0.0,47.0,33.0,142.42,1.0,4.0,3.0,0.0,0.0,24.0,23.0,0.0,75.76,169.23,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0
1.0,0.0,23.0,19.0,121.05,1.0,2.0,1.0,0.0,0.0,21.0,2.0,0.0,115.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,0.0,7.0,7.0,100.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,35.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,0.0,37.0,19.0,194.74,1.0,5.0,2.0,0.0,0.0,37.0,0.0,0.0,185.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
1.0,0.0,1.0,8.0,12.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0
1.0,0.0,22.0,16.0,137.5,1.0,3.0,0.0,0.0,0.0,22.0,0.0,0.0,110.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,32.0,27.0,118.52,1.0,2.0,2.0,0.0,0.0,15.0,17.0,0.0,55.56,170.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,0.0,29.0,12.0,241.67,1.0,1.0,4.0,0.0,0.0,29.0,0.0,0.0,145.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
2.0,0.0,33.0,37.0,89.19,1.0,3.0,0.0,0.0,0.0,16.0,17.0,0.0,45.95,70.59,57.14,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,9.0,7.0,128.57,1.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,45.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,4.0,2.0,4.0,50.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
2.0,0.0,15.0,18.0,83.33,1.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,75.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
2.0,5.0,10.0,9.0,111.11,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,50.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,0.0,43.0,37.0,116.22,1.0,8.0,0.0,0.0,0.0,11.0,32.0,0.0,29.73,100.0,214.29,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0
