Batting Innings,Batting Position,Runs Scored,Balls Faced,Batting Strikerate,Out/NotOut,4s,6s,50s,100s,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs,Strikerate in first 20 balls,Strikerate in 20 to 30 balls,Strikerate after 30 balls,Bowling Innings,Runs Given,Balls Bowled,Wickets Taken,Economy Rate,Bowling Strikerate,3 wicket hauls,5 wicket hauls,Wickets in Powerplay,Wickets in Middle Overs,Wickets in Death Overs,Economy in Powerplay,Economy in Middle Overs,Economy in Death Overs,Catches or Runouts as Fielder,Match Result,Man of the match
1.0,0.0,4.0,6.0,66.67,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,66.67,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,0.0,33.0,41.0,80.49,1.0,3.0,0.0,0.0,0.0,6.0,27.0,0.0,65.0,120.0,72.73,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,0.0,4.0,14.0,28.57,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,28.57,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
2.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,0.0
2.0,4.0,23.0,22.0,104.55,1.0,1.0,1.0,0.0,0.0,0.0,9.0,14.0,115.0,0.0,-1.0,1.0,18.0,12.0,0.0,9.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,9.0,0.0,0.0,0.0
2.0,1.0,11.0,20.0,55.0,1.0,1.0,0.0,0.0,0.0,8.0,3.0,0.0,55.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
2.0,5.0,33.0,29.0,113.79,1.0,3.0,0.0,0.0,0.0,0.0,28.0,5.0,140.0,55.56,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
1.0,0.0,31.0,34.0,91.18,1.0,5.0,0.0,0.0,0.0,21.0,10.0,0.0,105.0,90.0,25.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,2.0,0.0,0.0
1.0,0.0,50.0,40.0,125.0,1.0,6.0,1.0,1.0,0.0,22.0,28.0,0.0,120.0,200.0,60.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0
2.0,0.0,5.0,10.0,50.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,88.0,54.0,162.96,1.0,9.0,5.0,1.0,0.0,18.0,52.0,18.0,145.0,100.0,204.17,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0
1.0,0.0,36.0,31.0,116.13,1.0,5.0,1.0,0.0,0.0,35.0,1.0,0.0,150.0,60.0,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
1.0,0.0,56.0,46.0,121.74,1.0,8.0,1.0,1.0,0.0,32.0,24.0,0.0,130.0,80.0,137.5,2.0,12.0,7.0,0.0,10.29,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,10.29,2.0,1.0,1.0
1.0,0.0,33.0,32.0,103.12,1.0,2.0,2.0,0.0,0.0,23.0,10.0,0.0,115.0,100.0,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
