Name,Runs Scored,Balls Played,Strike Rate,Boundaries,Sixes,Matches Played,Dismissals,50s,100s,Wins Contributed,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs
BR Dunk,40,36,111.11,7,0,3,3,0,0,2,40,0,0
RR Rossouw,53,51,103.92,3,3,5,5,0,0,1,20,19,14
Shivam Sharma,5,3,166.67,1,0,2,1,0,0,1,0,0,5
YS Chahal,22,54,40.74,0,0,14,6,0,0,0,0,4,18
LMP Simmons,1079,878,122.89,109,44,29,27,11,1,19,542,505,32
VH Zol,29,26,111.54,3,1,2,2,0,0,0,22,7,0
BCJ Cutting,238,146,163.01,15,19,17,11,0,0,9,0,30,208
Imran Tahir,33,37,89.19,5,0,8,4,0,0,1,0,4,29
BE Hendricks,1,3,33.33,0,0,2,1,0,0,0,0,0,1
S Gopal,164,161,101.86,17,1,19,13,0,0,3,0,61,103
M de Lange,1,2,50.0,0,0,1,1,0,0,1,0,0,1
R Tewatia,366,280,130.71,24,20,23,12,1,0,6,6,137,223
JO Holder,104,86,120.93,9,5,9,7,0,0,3,4,41,59
Karanveer Singh,12,17,70.59,1,0,4,1,0,0,0,0,4,8
SS Iyer,2200,1802,122.09,190,83,78,70,16,0,38,670,1307,223
DJ Hooda,625,504,124.01,32,29,50,37,2,0,23,1,378,246
Anureet Singh,36,47,76.6,2,1,8,4,0,0,0,0,7,29
KS Williamson,1619,1222,132.49,138,54,52,41,15,0,28,276,1070,273
SA Abbott,15,13,115.38,1,1,2,2,0,0,1,0,1,14
J Suchith,54,48,112.5,4,2,6,2,0,0,2,0,22,32
RG More,2,2,100.0,0,0,1,0,0,0,0,0,0,2
HH Pandya,1349,897,150.39,87,93,74,45,4,0,45,18,493,838
D Wiese,127,94,135.11,12,4,8,4,0,0,1,0,39,88
SN Khan,441,321,137.38,50,11,25,17,1,0,9,36,192,213
MJ McClenaghan,85,73,116.44,5,7,21,13,0,0,9,0,30,55
DJ Muthuswami,1,3,33.33,0,0,1,1,0,0,0,0,0,1
PJ Cummins,223,176,126.7,14,12,19,13,1,0,7,0,78,145
SN Thakur,48,42,114.29,5,1,10,6,0,0,3,0,11,37
JC Buttler,1714,1184,144.76,168,77,57,49,11,0,27,750,792,172
CR Brathwaite,181,120,150.83,10,16,14,13,0,0,4,0,40,141
MP Stoinis,825,623,132.42,65,34,42,29,4,0,18,99,383,343
Ishan Kishan,1211,907,133.52,100,64,46,42,7,0,24,365,721,125
C Munro,177,144,122.92,19,8,12,12,0,0,5,131,42,4
P Sahu,19,13,146.15,1,1,2,1,0,0,0,0,0,19
KH Pandya,1000,727,137.55,95,40,57,41,1,0,33,26,645,329
AD Nath,90,99,90.91,7,2,10,10,0,0,4,11,63,16
MJ Guptill,270,196,137.76,25,15,13,12,1,0,5,218,52,0
KJ Abbott,13,8,162.5,0,1,3,1,0,0,0,0,0,13
TM Head,205,151,135.76,12,8,10,7,1,0,4,10,101,94
M Ashwin,8,12,66.67,0,0,6,4,0,0,2,0,1,7
NS Naik,31,53,58.49,2,0,4,4,0,0,0,7,13,11
RR Pant,2079,1416,146.82,185,103,68,59,12,1,32,244,1437,398
SW Billings,334,256,130.47,31,10,19,19,3,0,7,113,163,58
KC Cariappa,24,21,114.29,0,2,5,3,0,0,1,0,12,12
PSP Handscomb,6,12,50.0,0,0,1,1,0,0,0,0,6,0
Swapnil Singh,12,20,60.0,0,0,3,3,0,0,1,0,10,2
J Yadav,6,12,50.0,0,0,2,2,0,0,0,0,0,6
UT Khawaja,127,105,120.95,14,3,6,6,0,0,3,107,20,0
HM Amla,577,418,138.04,60,21,16,13,3,2,7,261,235,81
F Behardien,14,13,107.69,2,0,3,2,0,0,0,0,0,14
BB Sran,10,14,71.43,0,0,7,1,0,0,2,0,1,9
A Zampa,5,8,62.5,1,0,2,2,0,0,0,0,5,0
N Rana,1437,1093,131.47,128,72,55,52,11,0,27,355,929,153
S Kaushik,0,1,0.0,0,0,1,1,0,0,0,0,0,0
ER Dwivedi,24,15,160.0,2,2,2,2,0,0,0,5,0,19
CJ Jordan,32,38,84.21,2,0,6,5,0,0,2,0,7,25
TS Mills,8,11,72.73,0,1,3,3,0,0,1,0,2,6
A Choudhary,25,20,125.0,1,1,3,1,0,0,0,0,1,24
BA Stokes,920,700,131.43,80,32,40,35,2,2,19,239,559,122
JJ Roy,179,139,128.78,18,8,8,6,1,0,1,111,34,34
Vishnu Vinod,19,26,73.08,1,1,3,3,0,0,2,10,2,7
Basil Thampi,32,37,86.49,1,1,7,1,0,0,1,0,3,29
CR Woakes,63,66,95.45,5,2,11,6,0,0,4,0,24,39
RA Tripathi,988,756,130.69,95,37,44,39,5,0,20,520,359,109
DL Chahar,78,58,134.48,2,6,10,7,0,0,4,0,63,15
V Shankar,654,528,123.86,44,25,32,22,3,0,11,26,390,238
Rashid Khan,139,99,140.4,8,11,23,16,0,0,8,0,7,132
RD Chahar,17,17,100.0,2,0,6,2,0,0,3,0,0,17
LH Ferguson,44,30,146.67,4,1,3,0,0,0,0,0,1,43
C de Grandhomme,303,229,132.31,18,18,21,16,0,0,8,1,166,136
AF Milne,7,12,58.33,0,0,3,2,0,0,0,0,5,2
S Badree,13,25,52.0,0,0,5,5,0,0,0,0,10,3
Mohammad Nabi,146,102,143.14,13,7,11,9,0,0,5,0,49,97
AJ Tye,91,79,115.19,6,5,13,9,0,0,2,0,37,54
K Rabada,125,135,92.59,9,4,14,10,0,0,2,1,54,70
Kuldeep Yadav,57,76,75.0,5,0,11,6,0,0,1,0,10,47
Washington Sundar,186,154,120.78,15,6,21,12,0,0,7,0,102,84
DM Bravo,6,5,120.0,1,0,1,0,0,0,1,0,0,6
AR Bawne,12,12,100.0,1,0,1,0,0,0,0,0,0,12
SP Jackson,38,31,122.58,5,0,3,2,0,0,1,10,22,6
Ankit Soni,7,9,77.78,0,1,3,2,0,0,0,0,0,7
TA Boult,12,15,80.0,0,1,5,3,0,0,0,0,1,11
E Lewis,430,343,125.36,36,26,16,16,2,0,8,275,155,0
MA Wood,1,5,20.0,0,0,1,1,0,0,1,0,1,0
RK Singh,77,79,97.47,6,2,8,7,0,0,2,0,70,7
DJM Short,115,102,112.75,11,5,7,7,0,0,3,50,65,0
K Gowtham,186,113,164.6,13,12,19,13,0,0,6,8,62,116
TK Curran,106,91,116.48,8,3,8,4,1,0,3,0,58,48
M Markande,27,30,90.0,3,0,7,3,0,0,2,0,3,24
B Stanlake,5,2,250.0,1,0,1,0,0,0,1,0,0,5
Mujeeb Ur Rahman,11,14,78.57,2,0,5,3,0,0,1,0,1,10
A Dananjaya,4,5,80.0,0,0,1,0,0,0,0,0,0,4
Shubman Gill,939,766,122.58,87,24,37,28,7,0,17,382,438,119
Shivam Mavi,23,29,79.31,2,0,6,5,0,0,1,0,0,23
Mohammed Siraj,46,52,88.46,4,1,9,4,0,0,0,0,5,41
H Klaasen,66,58,113.79,5,1,6,5,0,0,2,13,25,28
RK Bhui,7,18,38.89,0,0,2,2,0,0,0,0,7,0
JC Archer,195,128,152.34,11,14,21,13,0,0,6,0,24,171
PP Shaw,826,605,136.53,99,27,38,38,6,0,22,559,249,18
LE Plunkett,1,3,33.33,0,0,2,1,0,0,1,0,0,1
Mustafizur Rahman,1,3,33.33,0,0,1,1,0,0,0,0,0,1
AD Hales,148,119,124.37,13,6,6,6,0,0,4,114,34,0
MK Lomror,87,78,111.54,5,3,6,5,0,0,1,19,47,21
DR Shorey,13,20,65.0,0,1,2,2,0,0,1,0,13,0
MM Ali,309,199,155.28,21,23,17,15,3,0,5,27,233,49
M Prasidh Krishna,3,11,27.27,0,0,4,1,0,0,0,0,0,3
P Chopra,8,6,133.33,2,0,1,1,0,0,1,0,8,0
JPR Scantlebury-Searles,8,6,133.33,0,1,2,1,0,0,2,0,0,8
Abhishek Sharma,143,104,137.5,10,8,13,8,0,0,7,0,52,91
IS Sodhi,7,18,38.89,0,0,2,2,0,0,0,0,5,2
SO Hetmyer,275,203,135.47,15,19,16,13,1,0,6,53,142,80
S Dube,169,142,119.01,6,12,13,10,0,0,3,0,92,77
NA Saini,29,31,93.55,3,0,5,2,0,0,0,0,4,25
JM Bairstow,790,576,137.15,79,31,21,19,5,1,9,365,412,13
KMA Paul,18,26,69.23,1,1,6,5,0,0,3,0,0,18
Rasikh Salam,5,4,125.0,0,0,1,0,0,0,0,0,0,5
N Pooran,521,323,161.3,33,39,20,16,2,0,9,34,385,102
P Ray Barman,19,25,76.0,2,0,1,1,0,0,0,0,19,0
SM Curran,281,200,140.5,25,15,19,12,2,0,6,68,81,132
GC Viljoen,3,7,42.86,0,0,3,2,0,0,1,0,0,3
Avesh Khan,4,3,133.33,1,0,1,0,0,0,0,0,0,4
S Lamichhane,0,1,0.0,0,0,1,1,0,0,0,0,0,0
HF Gurney,1,5,20.0,0,0,1,0,0,0,0,0,0,1
SD Lad,15,13,115.38,1,1,1,1,0,0,1,15,0,0
AS Joseph,15,13,115.38,2,0,1,0,0,0,1,0,4,11
R Parag,246,214,114.95,23,8,13,12,1,0,5,0,141,105
MJ Santner,32,25,128.0,0,3,2,1,0,0,1,0,14,18
JL Denly,0,1,0.0,0,0,1,1,0,0,0,0,0,0
LS Livingstone,70,48,145.83,6,5,4,3,0,0,2,57,12,1
KK Ahmed,0,3,0.0,0,0,2,2,0,0,0,0,0,0
AJ Turner,3,11,27.27,0,0,4,3,0,0,2,0,0,3
Harpreet Brar,20,14,142.86,2,1,1,0,0,0,0,0,0,20
SE Rutherford,73,55,132.73,2,7,7,5,0,0,5,0,26,47
Y Prithvi Raj,0,1,0.0,0,0,1,0,0,0,0,0,0,0
P Simran Singh,31,33,93.94,3,1,3,3,0,0,0,11,1,19
JL Pattinson,15,13,115.38,2,0,2,1,0,0,0,0,0,15
A Nortje,7,6,116.67,0,0,3,1,0,0,1,0,0,7
T Banton,18,22,81.82,1,1,2,2,0,0,0,18,0,0
D Padikkal,473,398,118.84,51,8,15,15,5,0,7,271,202,0
YBK Jaiswal,40,44,90.91,2,2,3,3,0,0,1,18,22,0
RD Gaikwad,204,173,117.92,16,6,6,4,3,0,3,66,108,30
TU Deshpande,21,12,175.0,2,1,2,1,0,0,0,0,0,21
Abdul Samad,111,66,168.18,8,6,7,5,0,0,3,0,38,73
PK Garg,133,116,114.66,9,4,10,9,1,0,3,17,61,55
JR Philippe,78,80,97.5,9,1,5,4,0,0,1,51,26,1
Kartik Tyagi,4,6,66.67,0,0,2,1,0,0,0,0,0,4
KL Nagarkoti,22,32,68.75,1,0,6,3,0,0,3,0,7,15
CV Varun,10,16,62.5,0,0,3,2,0,0,1,0,0,10
I Udana,15,11,136.36,1,1,4,3,0,0,0,0,0,15
Ravi Bishnoi,7,12,58.33,1,0,2,1,0,0,0,0,5,2
Shahbaz Ahmed,1,1,100.0,0,0,1,0,0,0,0,0,0,1
AT Carey,32,29,110.34,0,1,3,2,0,0,2,0,1,31
N Jagadeesan,33,31,106.45,4,0,2,2,0,0,0,1,32,0
T Natarajan,3,5,60.0,0,0,2,0,0,0,0,0,0,3
P Dubey,7,13,53.85,0,0,1,0,0,0,0,0,1,6
SS Cottrell,0,2,0.0,0,0,1,1,0,0,0,0,0,0
Arshdeep Singh,0,3,0.0,0,0,1,1,0,0,0,0,0,0
DR Sams,0,2,0.0,0,0,1,1,0,0,0,0,0,0
