,Batters,Runs Scored,Balls Played,Strike Rate,Boundaries,Sixes,Matches Played,Dismissals,50s,100s,Wins Contributed,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs
349,R Rampaul,51,52,98.08,3,2,7,5,0,0,2,0,22,29
209,R Sathish,270,236,114.41,22,6,24,17,0,0,11,0,127,143
235,R Sharma,66,77,85.71,5,3,20,14,0,0,3,0,12,54
342,R Shukla,19,23,82.61,2,0,4,1,0,0,1,0,3,16
390,R Tewatia,366,280,130.71,24,20,23,12,1,0,6,6,137,223
81,R Vinay Kumar,310,289,107.27,21,9,43,28,0,0,9,0,71,239
34,RA Jadeja,2159,1774,121.7,157,76,136,85,1,0,68,52,1201,906
442,RA Tripathi,988,756,130.69,95,37,44,39,5,0,20,520,359,109
446,RD Chahar,17,17,100.0,2,0,6,2,0,0,3,0,0,17
519,RD Gaikwad,204,173,117.92,16,6,6,4,3,0,3,66,108,30
304,RE Levi,83,74,112.16,10,4,6,6,1,0,4,62,21,0
177,RE van der Merwe,159,144,110.42,11,8,15,11,0,0,6,36,76,47
399,RG More,2,2,100.0,0,0,1,0,0,0,0,0,0,2
56,RG Sharma,5230,4088,127.94,459,214,195,167,39,1,108,1141,2945,1144
188,RJ Harris,117,112,104.46,6,3,21,12,0,0,5,0,31,86
323,RJ Peterson,32,32,100.0,3,1,5,3,0,0,4,0,14,18
168,RJ Quiney,103,105,98.1,12,3,7,7,1,0,3,65,38,0
475,RK Bhui,7,18,38.89,0,0,2,2,0,0,0,0,7,0
463,RK Singh,77,79,97.47,6,2,8,7,0,0,2,0,70,7
284,RN ten Doeschate,326,238,136.97,26,15,21,14,1,0,12,6,127,193
61,RP Singh,52,78,66.67,2,1,29,15,0,0,3,0,2,50
317,RR Bhatkal,0,2,0.0,0,0,1,1,0,0,0,0,0,0
420,RR Pant,2079,1416,146.82,185,103,68,59,12,1,32,244,1437,398
153,RR Powar,67,64,104.69,6,1,9,3,0,0,3,0,3,64
115,RR Raje,20,18,111.11,1,1,5,1,0,0,2,0,0,20
380,RR Rossouw,53,51,103.92,3,3,5,5,0,0,1,20,19,14
76,RR Sarwan,73,78,93.59,6,1,4,4,0,0,3,45,28,0
161,RS Bopara,531,468,113.46,39,16,22,18,3,0,7,130,275,126
219,RS Gavaskar,2,8,25.0,0,0,1,1,0,0,0,0,2,0
247,RS Sodhi,4,2,200.0,1,0,1,0,0,0,1,0,0,4
2,RT Ponting,91,129,70.54,5,2,9,9,0,0,5,45,46,0
259,RV Gomez,50,53,94.34,5,1,9,5,0,0,3,0,6,44
45,RV Uthappa,4607,3658,125.94,457,163,182,165,24,0,84,1848,2367,392
445,Rashid Khan,139,99,140.4,8,11,23,16,0,0,8,0,7,132
494,Rasikh Salam,5,4,125.0,0,0,1,0,0,0,0,0,0,5
528,Ravi Bishnoi,7,12,58.33,1,0,2,1,0,0,0,0,5,2
125,S Anirudha,136,121,112.4,9,7,12,8,1,0,6,26,45,65
270,S Aravind,59,59,100.0,7,0,11,4,0,0,0,0,13,46
450,S Badree,13,25,52.0,0,0,5,5,0,0,0,0,10,3
22,S Badrinath,1441,1245,115.74,154,28,65,47,11,0,33,182,930,329
50,S Chanderpaul,25,33,75.76,4,0,3,3,0,0,1,25,0,0
41,S Dhawan,5197,4208,123.5,593,109,175,152,41,2,91,2639,2168,390
490,S Dube,169,142,119.01,6,12,13,10,0,0,3,0,92,77
388,S Gopal,164,161,101.86,17,1,19,13,0,0,3,0,61,103
368,S Kaul,12,28,42.86,0,0,7,4,0,0,3,0,2,10
432,S Kaushik,0,1,0.0,0,0,1,1,0,0,0,0,0,0
